"Timestamp","Occupation","Do you believe there is a need for a project like this?","Why? (short answer)","What is your concern regarding a project like this ?","if others, please mention. ","What features would be great to have on the app?","Please provide any recommendations or suggestions. "
"2019/02/14 11:10:28 PM GMT+3","Community Development and Youth Work Professional","Yes","It can help better planning and utilization of land ","Others","","Surveyed and unsurveyed areas, natural features such as lakes, river. Roads and other infrastructures","The develop of smart city has to consult other professionals e.g. social workers, local people, govt agencies adn and NGOs, business people and companies  "
"2019/02/14 11:28:42 PM GMT+3","Computer Technician","Yes","Because we ecan expand the network of expaerts","Others","Maketing and business ","Understanding capacity of people mind","I would yo suggest that we must evalute our trainings after every year to make sure the project is in the progression "
"2019/02/14 11:29:11 PM GMT+3","Computer Technician","Yes","Because we ecan expand the network of expaerts","Others","Maketing and business ","Understanding capacity of people mind","I would yo suggest that we must evalute our trainings after every year to make sure the project is in the progression "
"2019/02/14 11:29:19 PM GMT+3","Computer Technician","Yes","Because we ecan expand the network of expaerts","Others","Maketing and business ","Understanding capacity of people mind","I would yo suggest that we must evalute our trainings after every year to make sure the project is in the progression "
"2019/02/14 11:37:05 PM GMT+3","Student","No","No efficient infrastructures","Security","","Locaton recognitions and location arrangements","You may able to success but you have to use much effort and larger amount of money so you may try to find a sponsorship so as to accomplish you last and atractive project"
"2019/02/14 11:56:21 PM GMT+3","Student","Yes","Every one can estimate implementation of government promises toward improvement of our city.","Politics","","Recognition(Name)of a political leader of a given area on the map and direct access of his contacts ","Make it possible to have free access of map and other related web.( i.e)even you run out of data still system allows you access the map and related web."
"2019/02/15 2:38:29 AM GMT+3","Microsoft Azure Procurement ","Yes","Zanzibar is far behind in IT","Politics","Main Zanzibar enemy.","Historic sites and Dangerous zones","Involve indigenous Zanzibaris avoid Politicizing it."
"2019/02/15 2:40:19 AM GMT+3","CEO","Yes","It is time for technological development in Zanzibar ","Security;Politics","","Finance","Studying on line"
"2019/02/15 5:47:02 AM GMT+3","Student ","Yes","To improve standard of life ","Others","Education","To be a user and admin","The good  idear to improve ict skils  "
"2019/02/15 6:54:31 AM GMT+3","Student ","Yes","Simplify works on geographical issues ","Privacy","","Inside and outside view system","It becomes helpful when it applied "
"2019/02/15 7:04:01 AM GMT+3","Student","Yes","It can make zanzibar a better place","Privacy","","Online registration","Keep up good work"
"2019/02/15 7:08:51 AM GMT+3","WEMA","Yes","Is fine to have the project like this  toward the city","Security","","Government buildings and ofices should be found.","This section for recomendation is not good to become here. because we dont know in side."
"2019/02/15 7:44:38 AM GMT+3","computer eng student","Yes","it will help reduce distrubance","Security","","Available spaces and suggesting city plan","i think it should be general that any country or area will be able to use. and not based in zanzibar"
"2019/02/15 8:44:56 AM GMT+3","Graduate","Yes"," It will provide awareness about the infrastructures and assets found and what are the future plans of the country regarding land use","Security","","Map, buildings, roads etc","Please make sure it exist "
"2019/02/15 9:56:43 AM GMT+3","student","Yes","it help to determine the location of your street","Security","","Mobike app","to improve app for security of life"
"2019/02/15 9:56:58 AM GMT+3","student","Yes","it help to determine the location of your street","Security","","Mobike app","to improve app for security of life"
"2019/02/15 10:10:40 AM GMT+3","Student","Yes","It will help moving around what's your project","Privacy;Security;Politics","Updates should be made after short intervals of time","Social activities in zanzibar","Good project"
"2019/02/15 10:16:15 AM GMT+3","Student","Yes","To easily access many landmarks that are within Zanzibar Town","Others","Simplicity","Town diff attractions","It should be user friendly  "
"2019/02/15 10:50:45 AM GMT+3","Student","Yes","I dont think if it has been even done before. Even if it has, i believe it will be great for us to learn different part of our country using mobile app","Security","","Restaurant, main roads and other public institutions","Perform this project with all your hearts to produce a beautiful thing which can be used nationally and internationally."
"2019/02/15 10:56:17 AM GMT+3","Student","Yes","I   will know the greatest of zanzizbar and it will help our children to know the origin of their country","Security","","Security,   👤 name and I.d, region,  district, ","1st I need to see the template,  and  other issue,  because  I will contribute but just as special body find a soap in a water with lag while the water is on his/her shoulders. So to be successful on it and i'll contribute well  "
"2019/02/15 1:12:28 PM GMT+3","IT Officer ","Yes","Data centralization ","Security","","Infrastructure map ","It's good to have a city map and clear structure of all infrastructure such as water, sanitation, electricity, communications, etc. "
"2019/02/15 1:34:49 PM GMT+3","University student","Yes","It contributes to the knowledge of our zanzibar","Security","","Local street names ","The streets names must be acknowledged"
"2019/02/15 1:56:36 PM GMT+3","Development Consultant.","Yes","Because it is important to have a digitized Zanzibar whereby all information are at finger tip.","Privacy;Security;Politics","","Availability of all important address of public and private institutions.","This should be an online and offline content."
"2019/02/15 2:52:22 PM GMT+3","Teacher","Yes","Simplify work","Privacy;Security;Politics","","Just good graphical user its enough","Security its very important"
"2019/02/15 3:21:15 PM GMT+3","Student","Yes","because this project going to be aware of the infrastructures and assets found and what are the future plans of the country regarding land use.  ","Privacy","","Map","my suggetion is to find a lot of good things in technology in order to minimize cost and time for people of Zanzibar."
"2019/02/15 4:47:32 PM GMT+3","Self employment","Yes","Stored of Zanzibar history","Security;Politics","","Short history of zanzibar ","This should be progressive not for study only"
"2019/02/15 5:33:50 PM GMT+3","Technologist","Yes","Sustainbility, jobs, innovation, planning","Others","Budget and support","Kiswahili support - lookup for focal points in government","good luck!"
"2019/02/15 7:03:12 PM GMT+3","DPS ministry of Infrastructure, Communication and Transportation","Yes","There is no such a thing helpful like that","Others","Management of the assets and infrastructure which is underground","Road networks, water supply pipeline, drainage system, ICT cable and electricity, street map and plots, important icon, street names ","It is good idea"
"2019/02/16 8:56:58 AM GMT+3","Student","Yes","This may act as a source of country development ","Security","","1. Live navigations to enable stakeholders to reach the specific location found on the map. 
2. Short History of a specific location this will help visitors to have an overview of the specified location. ","I would recommend the mobile app to be of two versions in future an android and iphone,  but for time limitations implementation of an android version first could be better because there are more android users compared to iphone uses "
